;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - ISLANDS;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-NC(Pmin,x,Unit);1,378183;1,306454;0,848960;1,447560;0,846700;1,750765;
RSearch-w-NC(Pmin,x,Pmin);36,432812;23,314553;53,476904;96,141087;34,674250;77,178450;
RSearch-w-NC(Pmin,x,Dmin);1,371340;2,377430;6,323828;1,839036;6,557574;2,443923;
RSearch-w-NC(Dmin,x,No);40,173877;45,896513;19,106822;72,114667;49,277671;69,295430;
RSearch-w-NC(Dmin,x,Unit);1,378183;1,306454;0,848960;1,447560;0,846700;1,750765;
RSearch-w-NC(Dmin,x,Pmin);40,173877;45,896513;19,106822;72,114667;49,277671;69,295430;
RSearch-w-NC(Dmin,x,Dmin);5,928371;1,834540;2,284628;2,560599;0,433641;2,347813;
RSearch-w-Vaw(No,+,No);1,689845;1,181691;0,965109;3,679599;5,981431;5,771508;
RSearch-w-Vaw(No,+,Unit);199,369542;56,019356;28,094420;40,196686;34,422346;13,063271;
RSearch-w-Vaw(No,+,Pmin);54,642699;57,221833;49,082670;24,412388;23,986196;18,867660;
RSearch-w-Vaw(No,+,Dmin);1,689845;1,181691;0,965109;3,679599;5,981431;5,771508;
RSearch-w-Vaw(Unit,+,No);1,831310;4,613708;0,603029;0,420437;6,108759;1,509083;
RSearch-w-Vaw(Unit,+,Unit);156,368974;71,636556;74,660506;46,938715;43,512140;60,900930;
RSearch-w-Vaw(Unit,+,Pmin);53,195417;19,928359;24,994656;13,536892;14,194842;22,940999;
