;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - MAPA;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-NC(Unit,+,No);0,730596;1,039784;0,836016;0,546520;1,073213;1,028347;
RSearch-w-NC(Unit,+,Unit);1,071178;0,390565;0,387824;0,305853;0,311912;0,205166;
RSearch-w-NC(Unit,+,Pmin);8,310064;4,431092;8,424838;7,792349;4,643992;7,418323;
RSearch-w-NC(Unit,+,Dmin);0,730596;1,039784;0,836016;0,546520;1,073213;1,028347;
RSearch-w-NC(Pmin,+,No);0,793888;0,776780;1,123815;0,682638;1,013866;0,937367;
RSearch-w-NC(Pmin,+,Unit);173,420735;142,031437;69,361946;74,531666;95,677314;87,829415;
RSearch-w-NC(Pmin,+,Pmin);19,117266;14,780503;27,664597;7,189255;11,644549;11,286346;
RSearch-w-NC(Pmin,+,Dmin);0,619504;0,945777;1,019334;1,483705;1,476309;1,647992;
RSearch-w-NC(Dmin,+,No);0,675498;0,394731;0,135757;0,261460;0,440563;0,725266;
RSearch-w-NC(Dmin,+,Unit);169,936843;6,467803;25,001441;8,711769;15,775655;7,371873;
RSearch-w-NC(Dmin,+,Pmin);14,732080;25,744797;15,468322;23,807721;16,101839;16,177798;
RSearch-w-NC(Dmin,+,Dmin);0,675498;0,394731;0,135757;0,261460;0,440563;0,725266;
RSearch-w-NC(No,x,No);17,930338;6,669019;20,242254;15,471467;19,379552;27,737635;
RSearch-w-NC(No,x,Unit);2,111786;0,082548;0,354254;0,401363;0,437589;0,354890;
RSearch-w-NC(No,x,Pmin);22,497530;18,637863;22,203430;5,928111;22,176874;8,084835;
RSearch-w-NC(No,x,Dmin);0,878168;0,827899;1,269677;0,613986;5,136844;1,820694;
RSearch-w-NC(Unit,x,No);221,441185;47,611544;30,910535;29,545299;12,764846;13,374704;
RSearch-w-NC(Unit,x,Unit);1,671103;0,175371;0,070569;0,042742;0,056625;0,021391;
RSearch-w-NC(Unit,x,Pmin);221,441185;47,611544;30,910535;29,545299;12,764846;13,374704;
RSearch-w-NC(Unit,x,Dmin);287,544755;22,735022;45,948315;10,139270;13,686112;10,821525;
RSearch-w-NC(Pmin,x,No);6,729627;20,787378;18,815013;23,689511;11,057274;6,698212;
RSearch-w-NC(Pmin,x,Unit);2,111786;0,082548;0,354254;0,401363;0,437589;0,354890;
RSearch-w-NC(Pmin,x,Pmin);22,809489;21,970200;18,514263;19,693241;19,447871;12,658267;
RSearch-w-NC(Pmin,x,Dmin);0,878168;0,827899;1,269677;0,613986;5,136844;1,820694;
RSearch-w-NC(Dmin,x,No);46,158659;8,578118;22,704467;11,184816;13,770401;34,447663;
RSearch-w-NC(Dmin,x,Unit);2,111786;0,082548;0,354254;0,401363;0,437589;0,354890;
RSearch-w-NC(Dmin,x,Pmin);48,290477;11,683062;20,047569;8,953390;34,352781;9,490696;
RSearch-w-NC(Dmin,x,Dmin);1,576309;0,774428;0,410152;0,473483;0,442234;0,477759;
RSearch-w-Vaw(No,+,No);12,048095;7,520263;2,434635;3,305402;3,199457;3,053776;
RSearch-w-Vaw(No,+,Unit);169,936843;6,467803;25,300476;10,047696;19,200819;7,844807;
RSearch-w-Vaw(No,+,Pmin);110,505537;71,814488;18,473419;21,233240;20,614971;16,139934;
RSearch-w-Vaw(No,+,Dmin);12,048095;7,520263;2,434635;3,305402;3,199457;3,053776;
RSearch-w-Vaw(Unit,+,No);14,431935;1,426856;3,898839;3,832771;6,005829;3,666611;
RSearch-w-Vaw(Unit,+,Unit);0,936313;0,508839;0,217259;0,136105;0,162068;0,078693;
RSearch-w-Vaw(Unit,+,Pmin);75,777619;40,740074;36,052276;34,281776;53,864929;15,208138;
RSearch-w-Vaw(Unit,+,Dmin);14,431935;1,426856;3,898839;3,832771;6,005829;3,666611;
RSearch-w-Vaw(Pmin,+,No);17,132371;4,292911;3,076356;3,091982;2,244479;2,550756;
